#MWE	PoS-sequence	annotated	not-annotated
home_inspector	NN NN	2	0
social_media	JJ NN	2	0
waiting_for	VBG IN	2	0
tax_payers	NN NNS	2	0
family_bagels	NNP NNPS	2	0
san_antonio	NNP NNP	2	0
one_-_star	HYPH CD HYPH	2	0
waiting_staff	NN NN	2	0
bottom_line	JJ NN	2	0
strip_mall	NN NN	2	0
emissions_test	NNS NN	2	0
up_and_running	CC RB CC	2	0
first_of_all	RB IN PDT	2	0
tap_water	NN NN	2	0
out_of_town	IN IN NN	2	0
ingrown_toenail	JJ NN	2	0
check_-_out	VB HYPH RP	2	0
slice_pizza	NNP NNP	2	0
collection_agency	NN NN	2	0
moving_out	VBG RP	2	0
warner_family	NNP NNP	2	0
hard_work	JJ NN	2	0
your_self	GW PRP	2	0
gift_certificate	NN NN	2	0
dr._wallen	NNP NNP	2	0
sent_over	VBN RB	2	0
ripped_out	VBD RP	2	0
dr._ruona	NNP NNP	2	0
shows_up	VBZ RP	2	0
cheap_hotel_rome	NNP NNP NNP	2	0
both~sides	DT NNS	2	0
come_over	VBP RB	2	0
bother_with	VB IN	2	0
max_'s	NNP POS	2	0
pad_thai	NNP NNP	2	0
years_old	NNS JJ	2	0
doctor_gonzales	NNP NNP	2	0
for_free	IN JJ	2	0
dr._taylor	NNP NNP	2	0
bj_s	NNP POS	2	0
big_bucks	JJ NNS	2	0
stopped_in	VBD RB	2	0
a_bunch	DT NN	2	0
exhaust~motor	NN NN	2	0
medical_care	JJ NN	2	0
all_the_way	PDT DT NN	2	0
north_county	NNP NNP	2	0
make_up	VBP RP	2	0
dining_room	NN NN	2	0
signed_up	VBD RP	2	0
hom_-_excel	NNP HYPH NNP	2	0
in~the~world	DT IN DT	2	0
jana_kueck	NNP NNP	2	0
make_up_for	VB RP IN	2	0
home_made	NN VBN	2	0
car_dealer	NN NN	2	0
09_xf	CD NNP	2	0
lab_coats	JJ NNS	2	0
telephone_number	NN NN	2	0
do~n't~forget	VBP RB VB	2	0
dr._aster	NNP NNP	2	0
lovely_nails	NNP NNP	2	0
gear_box	NN NN	2	0
a_/_c	NN HYPH NN	2	0
state_inspection	NN NN	2	0
end_up	VB RP	2	0
price_range	NN NN	2	0
ray_'s_pizza	NNP POS NNP	2	0
jiu_-_jitsu	NN HYPH NN	2	0
called_in	VBD RP	2	0
kitchen_aid	NNP NNP	2	0
follow_-_up	NN HYPH NN	2	0
never_mind	RB VB	2	0
every_thing	DT NN	2	0
spread_the_word	VB DT NN	2	0
dr._liau	NNP NNP	2	0
spay_and_neuter	NN CC NN	2	0
once_again	RB RB	2	0
from_the_outside	IN DT NN	1	0
detail~job	NN NN	1	0
black_beans	JJ NNS	1	0
supreme_beings	JJ NNS	1	0
of_all_time	IN DT NN	1	0
catch_up_with	VB VB RP	1	0
google_maps	NNP NNPS	1	0
barrett_motor_cars_of_san_antonio	NNP NNP NNPS IN NNP NNP	1	0
well_-_being	RB HYPH NN	1	0
energy~saving	NN NN	1	0
antipasto_misto	NN NN	1	0
up_to_par	IN IN NN	1	0
spoke_with	VBD IN	1	0
rang_it_up	VBD PRP RP	1	0
raging_taco_&_raging_burrito	VBG VBG NNP CC VBG VBG NNP NNP	1	0
done_wonders_for	VBN NNS IN	1	0
dr._dorn	NNP NNP	1	0
east_bay	NNP NNP	1	0
soup~and~salad	NN CC NN	1	0
hit_and_miss	NN CC NN	1	0
a_pair	DT NN	1	0
down_to_earth	RB IN NN	1	0
perfect~in_every_way	JJ IN DT NN	1	0
traffic_light	NN NN	1	0
in_need	IN NN	1	0
did~one~on~us	VBD CD IN PRP	1	0
ca~n't~be~beat	MD RB VB VBN	1	0
smoker_s_haven	NN POS NN	1	0
bus~route	NN NN	1	0
parisian_croissants	JJ NNS	1	0
keep_in_mind	VB IN NN	1	0
customer_relations	NN NNS	1	0
animal~lover	NN NN	1	0
add_on	VB RP	1	0
work_out	VBP RP	1	0
barton_car_wash	NNP NNP NNP	1	0
dr._ghassemlou	NNP NNP	1	0
doctor_'s_office	NN POS NN	1	0
yellow_curry	JJ NN	1	0
put_in_charge	VBN IN NN	1	0
middle_-_eastern	JJ HYPH JJ	1	0
fancy_flowers	NNP NNPS	1	0
14th_street	NNP NNP	1	0
leaving_no_stone_unturned	VBG DT NN JJ	1	0
capable_of	JJ IN	1	0
fidelity_leasing	NNP NNP	1	0
phone_numbers	NN NNS	1	0
double_beds	JJ NNS	1	0
all_inclusive	RB JJ	1	0
hard_drive	JJ NN	1	0
camps_bay	NNP NNPS	1	0
seth_bloom	NNP NNP	1	0
u._penn	NNP NNP	1	0
caught_in_traffic	VBN IN NN	1	0
ca_n't_go_wrong	MD RB VB RB	1	0
wine_tastings	NN NNS	1	0
turned_on	VBD RP	1	0
mini_cooper	NNP NNP	1	0
urgent_care	JJ NN	1	0
800_number	CD NN	1	0
do_better	VB RBR	1	0
of_late	IN RB	1	0
to_be_found	TO VB VBN	1	0
hormel_'s_chili	NN NNP POS	1	0
the_rest_was_history	DT NN VBD NN	1	0
what~a~joke	DT WP DT	1	0
corona_dryers	NNP NNS	1	0
in~the~words~of	IN DT NNS IN	1	0
sense_of_humor	NN IN NN	1	0
waste_time	VB NN	1	0
teacup_chihuahua	NN NN	1	0
wing~night	NN NN	1	0
life~threatening	NN VBG	1	0
james_bateman	NNP NNP	1	0
had_in_mind	VBD IN NN	1	0
dr._deters	NNP NNP	1	0
valentine_s	NNP POS	1	0
came_away_from	VBD RB IN	1	0
crab_rangoon	NN NN	1	0
green_buffet	NNP NNP	1	0
piping_hot	VBG JJ	1	0
pop_-_up	VB HYPH RP	1	0
hair~cut	NN NN	1	0
look_at_it	VB IN PRP	1	0
dr._obina	NNP NNP	1	0
see_the_sun	VB DT NN	1	0
could~n't~be~farther~from~the~truth	MD RB VB RBR IN DT NN	1	0
talk_with	VB IN	1	0
honest_wrok	JJ NN	1	0
trader_joe_'s	NNP NNP POS	1	0
chances_are	NNS VBP	1	0
chamberlain_road_hull	NNP NNP NNP	1	0
every_one	DT NN	1	0
modell_'s	NNP POS	1	0
popped_in	VBD RB	1	0
sales_ladies	NNS NNS	1	0
when_it_came_to	WRB PRP VBD IN	1	0
straight_edge	JJ NN	1	0
shooting_the_breeze	DT VBG DT	1	0
burger_king	NNP NNP	1	0
credit_cards	NN NNS	1	0
sun_devil_auto	NNP NNP NNP	1	0
barbara_quimba	NNP NNP	1	0
goes_out	VBZ RP	1	0
lewiston~,~ny	NNP , NNP	1	0
filled_up	VBD RP	1	0
convenience_store	NN NN	1	0
rather_then	RB IN	1	0
bait_and_switching	VB CC VBG	1	0
sit~and~wait_around	VB CC VB RB	1	0
after_all	RB RB	1	0
made_for	VBD IN	1	0
fuji_sushi	NNP NNP	1	0
flat_-_screen_tv	HYPH HYPH JJ HYPH	1	0
five_-_star	CD HYPH NN	1	0
early_on	RB RB	1	0
shut_off	VBN RP	1	0
stony_point	NNP NNP	1	0
la_hacienda	NNP NNP	1	0
in_other_words	IN JJ NNS	1	0
liberty_construction	NNP NNP	1	0
n't_budge	RB VB	1	0
mind_-_blowing	NN HYPH JJ	1	0
jimmy_rigged	NN VBD	1	0
blown_away	VBN RB	1	0
gone_down_hill	VBN GW RB	1	0
high_-_end	JJ HYPH NN	1	0
go_cry	VB VB	1	0
time_spent	NN VBN	1	0
rip_-_off	NN HYPH NN	1	0
increase_in	NN IN	1	0
dr._rohatgi	NNP NNP	1	0
across_the_board	IN DT NN	1	0
the_fan	DT DT	1	0
push_customers	VB NNS	1	0
rescue_puppy	NN NN	1	0
take_pride	VBP NN	1	0
malcolm_smith_motorsports	NNP NNP NNPS	1	0
come_through	VBN RB	1	0
find_out	VB RP	1	0
compact_'s	NNP POS	1	0
mark_up	NN NN	1	0
take_the_plunge_with	VB DT NN IN	1	0
gave_the_go_ahead	DT DT DT VBD	1	0
big_box_store	NN JJ NN	1	0
nyc_pizza	NNP NN	1	0
finger_licking	NN VBG	1	0
make_due	VB VB	1	0
nyc_style_pizza	NNP NN NN	1	0
break_down_and	CC VB RP	1	0
come_with	VB IN	1	0
big_rig	JJ NN	1	0
thankful_for	JJ IN	1	0
country_girl	NN NN	1	0
old_fashioned	JJ JJ	1	0
nick_'s	NNP POS	1	0
steak_house	NN NN	1	0
yelling_at	VBG IN	1	0
whole_foods	NNP NNP	1	0
tension~and~worries	CC CC CC	1	0
get_discounts	VB VB	1	0
days_inn	NNPS NNP	1	0
child_molesters	NN NNS	1	0
pool_service	NN NN	1	0
angry_lobster	JJ NN	1	0
massage_therapist	NN NN	1	0
rented_out	VBD RP	1	0
moved_out	VBD RP	1	0
blue_cross_/_blue_shield	NNP NNP NNP HYPH NNP NNP NNP	1	0
using~on	VBG IN	1	0
wine_glasses	NN NNS	1	0
on~the~street	IN DT NN	1	0
co_workers	AFX NNS	1	0
barry_s_auto_tech	NNP POS NNP NNP	1	0
dr._white	NNP NNP	1	0
trio_'s	NNP POS	1	0
car_washes	NN NNS	1	0
mobile_mechanics	JJ NNS	1	0
lucky_panda	NNP NNP	1	0
taco_mac	NNP NNP	1	0
blue_water_bridge_duty_free	NNP NNP NNP NNP NNP	1	0
complimented_on	VBN IN	1	0
get_into_an_accident	VBP IN DT NN	1	0
yoga~studio	NN NN	1	0
pat_tested	NNP NN	1	0
child_predators	NN NNS	1	0
at_one_point	IN CD NN	1	0
dr_greenwalt	NNP NNP	1	0
went_wrong	VBD JJ	1	0
scrummy_yummy	NNP NNP	1	0
end_up_with	VBP RP IN	1	0
wunderbar_pet_sitting	NN NNP NNP	1	0
student_body	NN NN	1	0
pretty~sure	RB JJ	1	0
pain_meds	NN NNS	1	0
stick_with	VB IN	1	0
little_farmer	NNP NNP	1	0
kung_pao_chicken	NN NN NN	1	0
gone_off	VBN RP	1	0
pizza_rolls	NN NNS	1	0
fall_for	VB IN	1	0
yellow_lab	JJ NN	1	0
17th_street	NN NN	1	0
wrapping_paper	NN NN	1	0
i_hate_to_say	PRP VBP TO VB	1	0
pay_attention	VB NN	1	0
in_search_of	IN NN IN	1	0
faced_with	VBN IN	1	0
do~n't~get_caught_up_in~the~hype	VB RB VB VBN RP IN DT NN	1	0
best_of_the_best	DT JJS JJS IN	1	0
jim_smith	NNP NNP	1	0
yards_brewery	NNP NNP	1	0
common_room	JJ NN	1	0
blood_pressure	NN NN	1	0
cross_examined	VB VBD	1	0
old_school	JJ NN	1	0
has~to~say	VBZ TO VB	1	0
am_made_to	VBP VBN TO	1	0
karla_ferguson_-_granger	NNP NNP HYPH NNP	1	0
spot_-_on	JJ HYPH JJ	1	0
over_proofed	RB JJ	1	0
sign_in	VB RP	1	0
first_-_time	JJ HYPH NN	1	0
standing_around	VBG RB	1	0
puts_out	VBZ RB	1	0
salad_bar	NN NN	1	0
ice_cream	NN NN	1	0
saucey_'s	NNP POS	1	0
scented_flowers	VBN NNS	1	0
is_a_pain	VBZ DT NN	1	0
on_and_on	CC RB RB	1	0
came_over	VBD RB	1	0
getting_used_to	TO TO VBG	1	0
full_-_time	HYPH JJ HYPH	1	0
fall_in_love	VB IN NN	1	0
felt_the_need	VBN DT NN	1	0
am_going_to	TO VBP VBG	1	0
then~again	RB RB	1	0
regardless_of	RB IN	1	0
long_beach	NNP NNP	1	0
toilet_seat	NN NN	1	0
life_coach	NN NN	1	0
have_a_bite	VBP DT NN	1	0
came_by	VBD RB	1	0
blow_dry	VB VBP	1	0
cayuga_st.	NNP NNP	1	0
a_slice_of_heaven	DT NN IN NN	1	0
sinking_feeling	NN NN	1	0
heart~pounded	NN VBD	1	0
made_friends	VBD NNS	1	0
mrs._lynda_mcmanus	NNP NNP NNP	1	0
never~again	RB RB	1	0
put_down	VB RP	1	0
rt_1	NNP CD	1	0
the_thing_is	DT NN VBZ	1	0
cranmore_dental_and_implant_clinic	NNP NNP CC NNP NNP	1	0
mi_pueblo	NNP NNP	1	0
liquor~license	NN NN	1	0
doctor_stout	NNP NNP	1	0
in~&~out	RB CC RB	1	0
san_jose	NNP NNP	1	0
pizza_roll	NN NN	1	0
eggs_benedict	NNS NN	1	0
month_olds	NN NNS	1	0
dr._lucy_nichols	NNP NNP NNP	1	0
eternally~grateful	RB JJ	1	0
i_-_24	PRP NNP HYPH	1	0
moo_shu	NN NN	1	0
refer_to	VBP IN	1	0
quick~and~timely	JJ CC JJ	1	0
alan_grissom	NNP NNP	1	0
goes_out_the_door	DT VBZ IN DT	1	0
cowboy_boots	NN NNS	1	0
luv_always	NN RB	1	0
dr._cooper	NNP NNP	1	0
french_fries	JJ NNS	1	0
out_ta_this_world	IN IN DT NN	1	0
kumon_parents	NNP NNPS	1	0
morse~red_line	NNP NNP NNP	1	0
world_series	NN NNS	1	0
well_fed	RB VBN	1	0
split_,_croatia	NNP , NNP	1	0
creekside_apartments	NNP NNPS	1	0
go_skiing	VB VBG	1	0
in_time	IN NN	1	0
dinner_plates	NN NN	1	0
years_to_come	NNS TO VB	1	0
bay_view	NNP NNP	1	0
on_the_lookout	IN DT NN	1	0
woken_up	VBN RP	1	0
on_the_spot	DT IN DT	1	0
birthday_card	NN NN	1	0
compare_to	VBN IN	1	0
faith_in	NN IN	1	0
under_warranty	IN NN	1	0
in_the_mean_time	IN DT GW NN	1	0
deb_watson	NNP NNP	1	0
bait_and_switch	NN CC NN	1	0
