#MWE	annotated	not-annotated
took control	2	0
took issue	2	0
took up	2	0
turn on	2	0
turned his focus	2	0
turned up	2	0
turns around	2	0
Undersecretary of the Treasury	2	0
Vietnam veteran	2	0
voice track	2	0
walked out	2	0
web site	2	0
well developed	2	0
well received	2	0
went through	2	0
wiped out	2	0
wound up	2	0
writing style	2	0
yeomanry corps	2	0
calling for	2	1
animated series	2	1
rural areas	2	1
natural resources	2	1
take care	2	1
functional groups	2	1
call for	2	2
real life	2	2
next door	2	2
came to	2	3
left for	2	4
