PoS-word	#labels	#instances	most common label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#
JJ-good	2	3	`	2	cognition	1																		
VB-exceed	3	3	cognition	1	stative	1	social	1																
NN-light	2	4	artifact	3	natural object	1																		
NN-shop	2	22	group	20	location	2																		
VBD-interviewed	2	2	communication	1	social	1																		
VBN-helped	2	2	cognition	1	social	1																		
NN-shopping	2	2	group	1	act	1																		
VB-listen	2	5	perception	3	communication	2																		
NNS-vendors	2	3	person	2	group	1																		
NN-road	3	4	act	2	location	1	event	1																
VBZ-puts	2	2	emotion	1	creation	1																		
JJ-sweet	2	3	food	2	`	1																		
NN-smokehouse	2	2	food	1	group	1																		
VB-carry	2	2	possession	1	social	1																		
VBD-heard	2	6	perception	4	communication	2																		
VBN-warned	2	2	communication	1	cognition	1																		
VB-stop	5	12	change	5	motion	4	communication	1	stative	1	social	1												
NN-dance	2	2	cognition	1	artifact	1																		
VBD-did	5	130	`a	70	stative	41	social	14	change	3	body	2												
NN-none	2	5	`	4	quantity	1																		
VBG-going	5	47	motion	21	`a	13	stative	6	social	6	communication	1												
VBZ-s	2	30	stative	27	`a	3																		
NN-ice	2	2	food	1	artifact	1																		
VBD-had	11	194	stative	89	`a	66	cognition	11	consumption	10	body	5	social	4	possession	4	change	2	emotion	1	`	1	communication	1
VBD-left	5	20	motion	12	stative	4	communication	2	possession	1	emotion	1												
VBD-were	2	192	stative	143	`a	49																		
VBD-saw	2	8	perception	7	social	1																		
NNP-green	2	2	group	1	location	1																		
VBZ-gets	3	4	stative	2	`	1	social	1																
VBN-put	5	5	emotion	1	communication	1	social	1	cognition	1	stative	1												
NN-policy	3	7	possession	3	cognition	3	communication	1																
NN-favorite	2	7	cognition	6	attribute	1																		
NNP-el	2	2	group	1	location	1																		
VBN-owned	2	4	possession	3	social	1																		
VBP-use	2	6	consumption	4	social	2																		
IN-from	2	3	`	2	process	1																		
VBD-got	9	63	stative	23	possession	12	social	7	motion	6	body	4	`a	4	communication	3	cognition	2	change	2				
VBG-waiting	3	10	cognition	4	stative	3	social	3																
VB-break	3	4	contact	2	possession	1	cognition	1																
NNS-times	5	36	event	24	time	5	cognition	3	quantity	3	relation	1												
NN-safety	2	2	cognition	1	attribute	1																		
VB-waste	3	11	social	5	stative	3	consumption	3																
VB-play	2	3	creation	2	stative	1																		
NN-gift	3	12	artifact	7	possession	3	cognition	2																
VBG-speaking	2	2	`j	1	communication	1																		
VBN-seated	2	2	social	1	stative	1																		
VB-pick	3	9	motion	5	possession	2	social	2																
VB-feel	3	18	cognition	12	emotion	5	perception	1																
NN-contact	2	2	communication	1	person	1																		
VBG-dealing	4	6	cognition	2	social	2	emotion	1	possession	1														
NN-rescue	2	2	animal	1	act	1																		
VB-use	5	32	social	20	stative	5	possession	3	contact	2	consumption	2												
VB-stick	2	3	social	2	contact	1																		
NN-stress	2	2	cognition	1	feeling	1																		
VBP-come	2	5	motion	4	stative	1																		
NNS-fights	2	2	event	1	act	1																		
NNS-houses	2	2	group	1	artifact	1																		
VBP-are	3	275	stative	221	`a	53	emotion	1																
IN-out	2	12	`	11	location	1																		
NN-date	2	4	time	3	event	1																		
VBD-worked	4	16	social	11	stative	3	body	1	consumption	1														
NN-signature	2	2	`	1	cognition	1																		
NN-doctor	2	25	person	24	artifact	1																		
VB-sleep	2	2	body	1	stative	1																		
NNS-sides	3	5	food	2	group	2	body	1																
VB-fit	3	4	contact	2	body	1	stative	1																
VB-fall	3	3	emotion	1	cognition	1	change	1																
VB-give	7	34	communication	12	social	10	cognition	5	possession	4	body	1	creation	1	emotion	1								
VB-work	5	23	social	18	stative	2	body	1	cognition	1	consumption	1												
NNS-procedures	2	5	act	4	process	1																		
VBN-based	2	7	stative	5	cognition	2																		
JJ-big	5	5	body	1	cognition	1	group	1	artifact	1	possession	1												
NN-massage	2	4	act	3	person	1																		
NN-taste	2	5	cognition	3	attribute	2																		
NN-video	2	3	artifact	2	communication	1																		
NN-pleasure	2	3	feeling	2	cognition	1																		
NNP-bay	2	3	location	2	group	1																		
NNS-people	3	84	person	75	group	8	`	1																
VBN-experienced	3	4	cognition	2	stative	1	social	1																
VBN-focused	2	3	cognition	2	`j	1																		
NN-center	2	2	group	1	location	1																		
NN-retail	2	2	possession	1	act	1																		
NN-member	2	5	person	4	artifact	1																		
IN-at	3	10	`	7	event	2	time	1																
VBD-found	3	30	cognition	28	stative	1	social	1																
NN-someone	2	23	`	21	person	2																		
VBG-dining	2	2	consumption	1	social	1																		
NN-call	2	2	event	1	act	1																		
VBG-writing	2	3	communication	2	creation	1																		
NN-check	3	7	event	3	possession	2	act	2																
NN-receipt	2	6	possession	5	artifact	1																		
NN-parking	6	16	cognition	6	act	4	location	3	possession	1	attribute	1	artifact	1										
NN-repair	2	17	act	16	event	1																		
VBD-completed	2	2	change	1	social	1																		
VB-go	7	115	motion	92	social	13	communication	4	stative	3	`	1	cognition	1	`j	1								
NN-plenty	2	9	quantity	5	`	4																		
VBG-using	4	8	social	5	possession	1	stative	1	consumption	1														
NN-contract	2	3	possession	2	communication	1																		
NNS-classes	2	3	event	2	cognition	1																		
VBP-make	4	8	social	3	cognition	2	stative	2	motion	1														
NNP-friday	2	5	time	4	event	1																		
VBG-doing	4	22	stative	14	social	6	body	1	change	1														
VB-tell	2	22	communication	19	cognition	3																		
NN-lot	2	3	location	2	`	1																		
VBN-installed	3	3	contact	1	change	1	stative	1																
VBN-prepared	2	5	creation	4	social	1																		
VBP-talk	2	3	communication	2	social	1																		
NN-work	5	57	act	47	social	4	location	3	group	2	time	1												
VB-worry	2	2	emotion	1	cognition	1																		
NN-junk	2	2	cognition	1	artifact	1																		
VBZ-makes	4	11	stative	8	social	1	cognition	1	creation	1														
NN-showroom	2	2	location	1	artifact	1																		
NN-beginning	2	2	group	1	time	1																		
CD-2	2	2	attribute	1	communication	1																		
NN-cut	3	5	act	3	body	1	event	1																
NN-mistake	2	3	cognition	2	event	1																		
VBZ-cuts	2	2	body	1	change	1																		
NN-a	4	12	communication	7	artifact	2	`	2	group	1														
VBG-giving	3	6	communication	4	possession	1	stative	1																
NN-wood	2	6	natural object	5	artifact	1																		
NN-breakfast	2	10	food	7	event	3																		
VBN-added	3	3	`j	1	change	1	stative	1																
NNS-apartments	2	4	group	2	artifact	2																		
IN-to	2	4	`	3	communication	1																		
VBG-coming	5	16	motion	11	cognition	2	communication	1	change	1	stative	1												
VBD-ruined	2	2	change	1	stative	1																		
NNP-phet	2	3	person	2	group	1																		
JJ-bottom	2	2	cognition	1	`	1																		
NN-#	2	10	`	9	communication	1																		
NN-neighborhood	2	5	group	4	location	1																		
NN-week	2	20	time	19	event	1																		
VBD-used	3	16	`a	8	social	7	possession	1																
VBN-ripped	2	3	social	2	change	1																		
VB-live	2	6	social	5	stative	1																		
NN-night	2	27	time	17	event	10																		
NN-excellence	2	3	cognition	2	attribute	1																		
DT-a	6	87	`	75	cognition	5	quantity	3	attribute	2	person	1	communication	1										
VBZ-does	4	28	`a	17	stative	7	social	3	body	1														
NN-metal	2	3	substance	2	natural object	1																		
NN-custom	2	4	`	2	cognition	2																		
CD-five	2	2	attribute	1	communication	1																		
NN-opening	2	3	event	2	artifact	1																		
NN-information	2	4	communication	2	cognition	2																		
VBP-have	7	277	`a	178	stative	82	cognition	7	motion	6	communication	2	emotion	1	consumption	1								
NN-couple	3	3	`	1	quantity	1	time	1																
NN-difficulty	3	4	cognition	2	state	1	attribute	1																
NN-ballroom	2	2	cognition	1	act	1																		
VBD-blew	2	2	cognition	1	stative	1																		
VBG-returning	2	4	motion	3	possession	1																		
VBD-looked	2	15	perception	14	possession	1																		
NN-world	4	10	cognition	6	location	2	person	1	event	1														
NN-client	2	4	person	2	group	2																		
VB-return	3	13	motion	9	possession	3	social	1																
VBG-looking	4	30	cognition	26	perception	2	possession	1	social	1														
NN-living	2	2	location	1	act	1																		
NN-house	3	16	artifact	8	location	5	group	3																
VBN-given	4	12	communication	4	social	4	stative	3	`j	1														
NNP-sam	2	2	person	1	group	1																		
VBD-brought	4	16	motion	13	possession	1	communication	1	social	1														
NNP-ny	2	4	location	3	group	1																		
NN-interest	2	2	attribute	1	feeling	1																		
VB-pass	3	5	stative	2	social	2	communication	1																
VBD-led	2	2	cognition	1	social	1																		
VBZ-has	4	114	`a	63	stative	47	cognition	3	attribute	1														
NN-system	3	4	cognition	2	process	1	group	1																
VB-sit	2	8	stative	7	social	1																		
NN-situation	3	4	event	2	cognition	1	state	1																
NN-surprise	3	4	cognition	2	`	1	feeling	1																
IN-up	2	4	`	3	cognition	1																		
VBD-pulled	2	2	contact	1	change	1																		
JJ-next	2	3	location	2	person	1																		
VBG-letting	2	2	cognition	1	communication	1																		
VB-look	3	17	perception	13	cognition	3	`	1																
VBZ-goes	3	6	stative	4	motion	1	change	1																
VBN-been	5	122	stative	69	`a	43	motion	6	social	3	`j	1												
NN-delivery	2	12	act	11	event	1																		
NNS-attempts	2	2	event	1	act	1																		
RB-not	2	3	`	2	communication	1																		
NNS-reasons	2	6	motive	4	cognition	2																		
VBZ-feels	4	8	cognition	4	stative	2	emotion	1	perception	1														
VB-pull	2	2	motion	1	contact	1																		
NNS-ones	2	5	`	3	person	2																		
NNS-workers	2	6	person	5	group	1																		
VBG-hoping	2	2	emotion	1	cognition	1																		
VB-cover	2	2	possession	1	social	1																		
NN-compassion	2	3	attribute	2	feeling	1																		
NN-office	3	20	group	16	location	2	artifact	2																
VBD-moved	2	12	motion	11	emotion	1																		
NN-knowledge	2	7	cognition	6	attribute	1																		
VB-believe	2	6	cognition	4	emotion	2																		
NNS-needs	2	10	motive	5	cognition	5																		
JJ-common	2	2	cognition	1	artifact	1																		
NN-weekend	2	11	time	10	event	1																		
NNS-others	3	12	`	8	group	3	person	1																
PDT-all	3	5	`	2	time	2	cognition	1																
VB-pack	2	2	motion	1	change	1																		
VB-extend	2	2	change	1	social	1																		
NN-attitude	2	6	attribute	5	feeling	1																		
NNS-tables	2	3	artifact	2	location	1																		
NNS-things	3	31	`	28	artifact	2	group	1																
NN-spot	2	8	group	7	location	1																		
VB-represent	2	2	social	1	stative	1																		
NNP-google	2	2	communication	1	group	1																		
NNP-health	2	2	communication	1	group	1																		
NN-dining	3	9	act	6	artifact	2	event	1																
NN-service	6	200	act	193	group	2	artifact	2	possession	1	communication	1	event	1										
VBP-see	2	3	social	2	perception	1																		
VBN-treated	2	9	social	8	body	1																		
VBZ-amazes	2	2	emotion	1	cognition	1																		
NN-bar	4	8	group	3	location	2	artifact	2	food	1														
NN-detail	2	2	attribute	1	act	1																		
VB-fill	3	3	contact	1	change	1	consumption	1																
NN-decor	2	6	attribute	3	artifact	3																		
VB-throw	2	2	motion	1	consumption	1																		
NNS-hosts	2	3	person	2	group	1																		
NN-return	3	4	possession	2	`	1	act	1																
VBD-delivered	2	3	motion	2	social	1																		
NNS-repairs	2	5	act	4	state	1																		
NN-oil	4	13	act	5	substance	4	event	2	artifact	2														
VB-handle	2	3	social	2	cognition	1																		
NNS-items	2	11	artifact	8	food	3																		
NN-list	2	7	communication	6	artifact	1																		
NNS-breakfasts	2	3	food	2	event	1																		
NN-look	3	5	cognition	3	event	1	attribute	1																
VB-schedule	2	2	communication	1	social	1																		
NN-station	2	2	group	1	location	1																		
VBP-wish	2	8	emotion	4	cognition	4																		
VBG-according	3	3	`	1	cognition	1	stative	1																
VBN-born	2	2	`j	1	stative	1																		
VBD-spent	4	5	possession	2	cognition	1	stative	1	social	1														
NNS-parts	2	6	artifact	5	location	1																		
NN-discomfort	2	3	feeling	2	state	1																		
NN-course	4	6	cognition	2	artifact	2	group	1	event	1														
NNS-requests	2	3	communication	2	cognition	1																		
VBD-listened	2	3	communication	2	perception	1																		
VBD-offered	2	5	communication	3	possession	2																		
NNS-properties	2	2	group	1	artifact	1																		
VBN-become	2	3	change	2	stative	1																		
NNS-friends	2	23	person	19	group	4																		
NN-guy	2	22	person	18	`	4																		
VB-start	3	3	communication	1	change	1	stative	1																
VB-maintain	2	2	social	1	stative	1																		
NNP-barrett	2	2	person	1	group	1																		
VBZ-knows	2	10	cognition	9	social	1																		
NNP-mr.	2	4	person	3	group	1																		
VBG-following	4	5	`j	2	motion	1	social	1	stative	1														
VB-leave	4	9	motion	6	cognition	1	contact	1	stative	1														
VBN-used	4	13	social	10	`j	1	stative	1	contact	1														
NN-jazz	2	2	group	1	act	1																		
NN-job	3	50	act	44	event	4	cognition	2																
VBN-left	2	5	motion	4	stative	1																		
VBN-trained	2	2	`j	1	cognition	1																		
NNS-guests	2	9	group	5	person	4																		
NN-test	3	10	event	5	act	3	cognition	2																
NNS-pieces	3	7	artifact	3	food	2	quantity	2																
VB-satisfy	3	3	emotion	1	cognition	1	consumption	1																
NNS-providers	2	2	person	1	group	1																		
VBZ-shows	4	5	stative	2	social	1	motion	1	perception	1														
NN-pricing	2	5	possession	3	attribute	2																		
NNP-creekside	2	2	group	1	location	1																		
VB-happen	2	3	stative	2	`a	1																		
VBD-passed	2	4	body	3	stative	1																		
WP-who	2	4	`	3	social	1																		
NN-dress	2	11	artifact	10	person	1																		
VBN-located	2	3	stative	2	cognition	1																		
NN-store	3	48	group	40	location	4	artifact	4																
VB-help	2	19	social	18	cognition	1																		
NN-experience	3	56	event	50	cognition	3	act	3																
VB-meet	2	5	social	4	cognition	1																		
NN-amount	2	8	quantity	7	possession	1																		
VBD-caught	2	2	perception	1	social	1																		
NN-area	2	35	location	34	group	1																		
VB-manage	2	2	cognition	1	social	1																		
NN-grill	2	4	food	2	artifact	2																		
NN-wait	4	10	group	5	act	3	`	1	artifact	1														
NN-fps	2	3	cognition	2	communication	1																		
VB-force	2	2	contact	1	social	1																		
NN-view	2	2	cognition	1	attribute	1																		
NN-charity	2	2	`	1	event	1																		
NNS-patients	2	3	person	2	group	1																		
NN-anyone	2	43	`	42	person	1																		
NN-gem	3	7	cognition	5	`	1	group	1																
NNP-new	5	12	location	7	food	2	person	1	group	1	event	1												
NNS-options	2	13	cognition	12	food	1																		
NNP-walmart	2	4	group	3	location	1																		
NN-part	7	14	artifact	3	quantity	3	cognition	2	relation	2	location	2	`	1	event	1								
NN-kid	2	3	food	2	person	1																		
NNS-treatments	2	4	cognition	2	event	2																		
NN-smoke	2	4	substance	3	group	1																		
NN-tutoring	2	2	`	1	act	1																		
JJ-great	2	2	cognition	1	`	1																		
VBP-'m	2	58	stative	44	`a	14																		
VB-put	6	9	cognition	2	contact	2	social	2	possession	1	body	1	motion	1										
NNS-children	2	15	person	12	group	3																		
NN-spay	2	2	artifact	1	act	1																		
NN-pressure	2	2	state	1	phenomenon	1																		
NN-space	2	4	cognition	2	location	2																		
VB-trust	3	17	cognition	9	emotion	7	`	1																
VBP-feel	2	19	emotion	10	cognition	9																		
VBZ-offers	2	3	stative	2	social	1																		
VBG-planning	2	2	cognition	1	social	1																		
VB-wait	3	19	cognition	9	stative	7	social	3																
NN-town	2	11	location	8	group	3																		
NNS-postcards	2	3	artifact	2	communication	1																		
VBN-stuck	2	2	`j	1	social	1																		
VBN-fried	2	6	food	3	`j	3																		
NN-end	2	3	event	2	state	1																		
VBN-involved	2	2	cognition	1	social	1																		
NN-architecture	2	2	cognition	1	artifact	1																		
NN-tea	2	3	food	2	artifact	1																		
VBD-opened	2	4	stative	3	social	1																		
NNS-grounds	2	3	location	2	food	1																		
VBD-provided	2	5	social	4	communication	1																		
NN-lesson	2	8	event	6	cognition	2																		
NN-lunch	2	13	event	10	food	3																		
VBN-run	3	7	social	4	stative	2	`j	1																
NN-team	2	17	group	16	cognition	1																		
MD-can	3	3	`	1	cognition	1	social	1																
JJ-full	2	3	possession	2	`	1																		
NN-sushi	2	8	food	7	group	1																		
NN-agreement	2	3	possession	2	communication	1																		
VBP-get	9	29	stative	13	social	5	body	2	cognition	2	communication	2	motion	2	possession	1	`a	1	change	1				
NNS-types	2	3	cognition	2	`	1																		
NN-school	2	16	group	15	location	1																		
NN-one	3	17	`	15	group	1	artifact	1																
NN-line	3	9	cognition	6	act	2	group	1																
VBG-walking	2	4	motion	3	stative	1																		
NNS-edges	2	2	food	1	location	1																		
NN-class	3	6	cognition	2	group	2	event	2																
NN-sense	2	3	attribute	2	cognition	1																		
NNP-india	2	3	location	2	event	1																		
NNP-richmond	2	6	location	4	group	2																		
NN-color	3	3	attribute	1	act	1	cognition	1																
VBD-booked	2	3	social	2	possession	1																		
NN-order	2	16	communication	10	food	6																		
NN-age	2	2	process	1	attribute	1																		
NNP-toyota	2	2	group	1	artifact	1																		
NN-city	2	8	location	7	artifact	1																		
VB-have	10	107	stative	47	`a	45	cognition	5	social	3	possession	2	`	1	consumption	1	act	1	feeling	1	event	1		
NNS-sales	4	14	person	6	possession	4	act	3	communication	1														
NN-entertainment	2	3	cognition	2	feeling	1																		
VBG-offering	2	2	stative	1	social	1																		
VBG-preparing	2	2	creation	1	social	1																		
NN-health	2	2	person	1	state	1																		
VBZ-sucks	2	3	stative	2	`	1																		
NNS-meals	2	4	food	3	event	1																		
NN-cup	2	3	food	2	artifact	1																		
VBP-care	2	6	emotion	4	cognition	2																		
NN-business	5	29	group	23	possession	2	act	2	cognition	1	artifact	1												
NN-rip	2	2	cognition	1	act	1																		
NN-passion	2	3	motive	2	attribute	1																		
NN-home	6	27	artifact	14	location	6	group	2	cognition	2	person	2	creation	1										
NNP-dealer	2	2	person	1	group	1																		
NNS-projects	3	3	cognition	1	event	1	act	1																
NNS-lives	2	2	process	1	time	1																		
VBD-stopped	2	3	motion	2	change	1																		
VBD-stood	2	3	stative	2	cognition	1																		
VBN-gotten	3	4	stative	2	possession	1	cognition	1																
VBD-cut	2	3	body	2	possession	1																		
VBD-turned	5	8	change	3	social	2	motion	1	cognition	1	stative	1												
NN-today	2	14	time	13	event	1																		
VBN-found	2	10	cognition	9	social	1																		
VBZ-works	2	5	social	3	stative	2																		
VBG-canceling	2	2	change	1	social	1																		
VBZ-sets	2	2	cognition	1	stative	1																		
VBN-resolved	2	2	change	1	stative	1																		
NNP-ray	2	3	group	2	person	1																		
NNS-customers	2	19	person	15	group	4																		
NN-birthday	2	5	event	4	communication	1																		
NNS-nights	2	4	event	2	time	2																		
NN-room	6	42	location	19	artifact	17	cognition	3	attribute	1	natural object	1	state	1										
NN-spare	2	2	food	1	artifact	1																		
VBD-took	8	64	social	21	motion	20	stative	17	possession	2	emotion	1	consumption	1	cognition	1	communication	1						
NN-buyer	2	2	person	1	`	1																		
NNS-students	2	9	person	7	group	2																		
NN-kitchen	3	7	group	3	location	3	artifact	1																
NN-country	2	3	location	2	person	1																		
VBD-showed	2	7	social	6	cognition	1																		
JJ-last	3	6	event	3	time	2	communication	1																
VBN-moved	2	5	motion	4	change	1																		
VB-come	6	26	motion	19	communication	2	social	2	possession	1	stative	1	change	1										
VB-check	5	18	social	9	cognition	6	`	1	communication	1	artifact	1												
VB-take	5	43	social	22	motion	7	possession	6	stative	5	cognition	3												
NN-glass	2	4	substance	2	artifact	2																		
NNS-hands	3	7	`	5	body	1	cognition	1																
VBP-hope	2	8	emotion	6	cognition	2																		
NN-laundry	2	2	group	1	artifact	1																		
VBP-ve	2	5	`a	4	social	1																		
VBD-checked	2	5	social	3	cognition	2																		
NN-nail	3	7	artifact	4	body	2	substance	1																
NN-concern	2	2	cognition	1	feeling	1																		
VBN-booked	2	2	communication	1	social	1																		
NN-state	4	7	state	3	location	2	cognition	1	event	1														
VBN-cracked	2	2	`j	1	stative	1																		
VBP-appreciate	2	3	emotion	2	cognition	1																		
NN-grocery	3	4	group	2	location	1	artifact	1																
NN-quote	2	7	possession	4	communication	3																		
VBN-had	7	50	stative	28	consumption	10	possession	3	cognition	3	social	3	body	2	`a	1								
VBG-drinking	2	3	consumption	2	social	1																		
NN-crap	2	3	artifact	2	cognition	1																		
NN-garage	3	10	artifact	6	group	3	location	1																
DT-no	2	6	`	5	cognition	1																		
NN-time	3	87	event	44	time	42	cognition	1																
VBN-done	3	28	stative	21	social	6	change	1																
NN-combo	2	2	food	1	cognition	1																		
VBP-work	2	17	social	16	body	1																		
NNP-hr	2	2	group	1	location	1																		
NN-practice	3	8	group	4	act	3	process	1																
NN-traffic	3	4	artifact	2	cognition	1	state	1																
NN-start	3	4	event	2	process	1	time	1																
NN-record	3	3	possession	1	communication	1	group	1																
VB-keep	5	10	stative	5	cognition	2	`	1	social	1	change	1												
VBP-wait	2	2	cognition	1	stative	1																		
VBP-order	2	5	communication	4	possession	1																		
VB-visit	3	6	social	4	motion	1	communication	1																
NN-top	4	6	location	3	`j	1	cognition	1	relation	1														
VBG-taking	7	11	social	3	possession	2	communication	2	cognition	1	motion	1	stative	1	change	1								
NN-checkout	2	2	event	1	act	1																		
NN-wine	3	15	food	12	event	2	artifact	1																
VBG-standing	2	3	stative	2	social	1																		
VBZ-helps	2	4	social	3	body	1																		
NNS-flowers	2	9	natural object	8	plant	1																		
NN-standard	2	3	attribute	2	cognition	1																		
NN-deck	2	2	location	1	artifact	1																		
CD-4	2	2	communication	1	group	1																		
NNS-girls	2	4	person	3	event	1																		
